year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1992,4413598,5615194,91677734,91701010,653062,11.651,633104,11.295,14897612,5162922,9734690,5.630,16.246,14944772,5155510,9789262,5.622,16.297,-47160,-0.051,32.492,415388,426570,2713023
1993,4493109,5676111,93338913,92520696,647634,11.472,586089,10.382,15166778,4862249,10304529,5.255,16.393,13544402,4508630,9035772,4.873,14.639,1622376,1.754,29.279,386651,398934,2333519
1994,4575055,5790951,95639966,94656325,684643,11.933,577498,10.066,15236216,5392084,9844132,5.696,16.096,13270498,4525716,8744782,4.781,14.020,1965718,2.077,28.039,398146,409752,2483407
1995,4673491,5921073,99048421,97293560,706616,12.068,575510,9.829,16075321,5676666,10398655,5.835,16.522,12559388,4313841,8245547,4.434,12.909,3515933,3.614,25.818,398648,411684,2467332
1996,4721400,5999833,100052647,99157163,701890,11.800,598659,10.065,15742029,5770938,9971091,5.820,15.876,13957268,4644890,9312378,4.684,14.076,1784761,1.800,28.152,416450,429052,2630075
1997,4776312,6078365,103224463,101802320,736392,12.192,659429,10.918,18212534,6432654,11779880,6.319,17.890,15349276,5679420,9669856,5.579,15.078,2863258,2.813,30.155,434104,449021,2908784
1998,4853482,6188699,107722728,106110498,701990,11.425,613598,9.986,17968615,6127063,11841552,5.774,16.934,14712782,5034908,9677874,4.745,13.866,3255833,3.068,27.731,400383,413298,2477887
1999,4882936,6253361,110068573,108970370,691026,11.107,627281,10.082,17704244,6105637,11598607,5.603,16.247,15508726,5436134,10072592,4.989,14.232,2195518,2.015,28.464,408574,423851,2725935
2000,4902719,6302133,113667893,112044239,680428,10.836,634910,10.111,18708207,6171116,12537091,5.508,16.697,15471858,5594734,9877124,4.993,13.809,3236349,2.888,27.617,404843,420534,2589727
2001,4913160,6345625,114050648,113851716,693954,10.975,649241,10.267,17766038,6314250,11451788,5.546,15.605,17362633,6081034,11281599,5.341,15.250,403405,0.354,30.500,407721,424623,2804798
2002,4931779,6394729,111847986,113323721,759119,11.900,727643,11.407,18533424,7449715,11083709,6.574,16.354,21500570,7394078,14106492,6.525,18.973,-2967146,-2.618,32.709,423554,438849,3422734
2003,5029737,6502604,112825154,112337705,744020,11.540,633942,9.832,17773039,6035770,11737269,5.373,15.821,16804844,5560627,11244217,4.950,14.959,968195,0.862,29.918,409693,421057,2589384
2004,5086942,6573029,114365951,113654986,732695,11.206,662954,10.140,17244920,5802207,11442713,5.105,15.173,15854426,5641198,10213228,4.963,13.950,1390494,1.223,27.899,425114,437460,2680968
2005,5167553,6682830,115652777,115038845,767934,11.586,658837,9.940,17023617,6129353,10894264,5.328,14.798,15797808,5161367,10636441,4.487,13.733,1225809,1.066,27.465,430900,442207,2666165
2006,5256830,6848149,119490886,117649684,844897,12.489,679200,10.039,18716228,6836781,11879447,5.811,15.908,15048264,5020130,10028134,4.267,12.791,3667964,3.118,25.581,461020,471572,2627867
2007,5293747,6919449,119827643,119686479,808033,11.740,734223,10.668,18291398,6344216,11947182,5.301,15.283,18016499,6048699,11967800,5.054,15.053,274899,0.230,30.106,467719,477600,2802671
2008,5233202,6878732,119693204,119718202,711682,10.318,749268,10.863,16942943,5616246,11326697,4.691,14.152,17022291,5468719,11553572,4.568,14.219,-79348,-0.066,28.305,496102,506700,2857707
2009,5091999,6744069,113847304,116918790,633374,9.282,791985,11.607,13415594,4966099,8449495,4.247,11.474,19573444,5568954,14004490,4.763,16.741,-6157850,-5.267,22.949,511916,524892,3059858
2010,5019752,6680498,111520120,112689747,637709,9.500,701848,10.456,13444949,4768873,8676076,4.232,11.931,15761896,4655839,11106057,4.132,13.987,-2316947,-2.056,23.862,440898,453521,2412705
2011,4996589,6674326,113015715,112276129,660198,9.887,665821,9.972,14761634,4576131,10185503,4.076,13.148,13269269,4321403,8947866,3.849,11.818,1492365,1.329,23.637,421409,434466,2221776
2012,5043263,6716128,115526121,114278518,670149,10.010,627466,9.372,15794847,4698977,11095870,4.112,13.821,13292254,4399244,8893010,3.850,11.631,2502593,2.190,23.263,380777,393206,2208409
2013,5068322,6757576,117784482,116700197,661255,9.817,618389,9.180,15550500,4913293,10637207,4.210,13.325,13379153,4441100,8938053,3.806,11.465,2171347,1.861,22.929,385990,393817,2219090
2014,5105413,6833449,120333310,119037689,672834,9.900,598242,8.803,15609577,5066420,10543157,4.256,13.113,13016514,4259827,8756687,3.579,10.935,2593063,2.178,21.870,383856,392389,2135220
2015,5151425,6913301,123359195,121847121,688532,10.017,608652,8.855,16315828,5386840,10928988,4.421,13.390,13285450,4376239,8909211,3.592,10.903,3030378,2.487,21.807,387142,396945,2250822
2016,5218621,7042357,126000156,124680129,712388,10.209,583468,8.362,16121243,5312339,10808904,4.261,12.930,13484031,4218535,9265496,3.383,10.815,2637212,2.115,21.630,392133,402279,2349399
2017,5252300,7084581,127851900,126786971,681776,9.653,638797,9.044,17183688,5313958,11869730,4.191,13.553,15056949,5088447,9968502,4.013,11.876,2126739,1.677,23.752,405247,416610,2524755
2018,5288148,7104505,129965396,128965339,654920,9.237,626818,8.840,16183987,4833759,11350228,3.748,12.549,14185255,4626504,9558751,3.587,10.999,1998732,1.550,21.999,412407,426435,2496987
2019,5337267,7169813,132094919,131065106,673443,9.436,608044,8.519,15692659,4806712,10885947,3.667,11.973,13675978,4416048,9259930,3.369,10.434,2016681,1.539,20.869,434354,444972,2509516
2020,5326121,7162273,132833490,132440961,669205,9.340,675145,9.422,15766555,5222826,10543729,3.944,11.905,14974848,4873411,10101437,3.680,11.307,791707,0.598,22.614,489078,504592,2782155
